pass,max_damage
0,7.92485e+09
100,8.11945e+11
200,1.68256e+12
300,2.63132e+12
400,3.66127e+12
500,4.7924e+12
600,6.02465e+12
700,7.35698e+12
800,8.80645e+12
900,1.03847e+13
1000,1.2115e+13
1100,1.39657e+13
1200,1.59879e+13
1300,1.81894e+13
1400,2.05596e+13
1500,2.31384e+13
1600,2.59095e+13
1700,2.88895e+13
1800,3.20895e+13
1900,3.55027e+13
2000,3.91618e+13
2100,4.3084e+13
2200,4.72503e+13
2300,5.16256e+13
2400,5.6311e+13
2500,6.12225e+13
2600,6.64434e+13
2700,7.19302e+13
2800,7.77104e+13
2900,8.36865e+13
3000,9.00165e+13
3100,9.66091e+13
3200,1.0342e+14
3300,1.10464e+14
3400,1.17719e+14
3500,1.25238e+14
3600,1.32911e+14
3700,1.40784e+14
3800,1.48785e+14
3900,1.56875e+14
4000,1.65125e+14
4100,1.73454e+14
4200,1.81849e+14
4300,1.90308e+14
4400,1.98669e+14
4500,2.07083e+14
4600,2.15485e+14
4700,2.23823e+14
4800,2.32058e+14
4900,2.40152e+14
5000,2.48078e+14
5100,2.55833e+14
5200,2.63417e+14
5300,2.70753e+14
5400,2.77872e+14
5500,2.84724e+14
5600,2.91354e+14
5700,2.97767e+14
5800,3.03906e+14
5900,3.09762e+14
6000,3.15385e+14
6100,3.20755e+14
6200,3.25797e+14
6300,3.30553e+14
6400,3.35094e+14
6500,3.39359e+14
6600,3.43326e+14
6700,3.47094e+14
6800,3.50609e+14
6900,3.5388e+14
7000,3.5694e+14
7100,3.59784e+14
7200,3.62431e+14
7300,3.64856e+14
7400,3.67121e+14
7500,3.69219e+14
7600,3.71144e+14
7700,3.72931e+14
7800,3.74569e+14
7900,3.76082e+14
8000,3.77479e+14
8100,3.78734e+14
8200,3.79903e+14
8300,3.8098e+14
8400,3.81965e+14
8500,3.8287e+14
8600,3.83692e+14
8700,3.84451e+14
8800,3.85151e+14
8900,3.85787e+14
9000,3.86374e+14
9100,3.86909e+14
9200,3.87401e+14
9300,3.87853e+14
9400,3.88267e+14
9500,3.88648e+14
9600,3.89002e+14
9700,3.89326e+14
9800,3.89624e+14
9900,3.89897e+14
10000,3.90149e+14
10100,3.90385e+14
10200,3.90602e+14
10300,3.90805e+14
10400,3.90995e+14
10500,3.9117e+14
10600,3.91336e+14
10700,3.91489e+14
10800,3.91635e+14
10900,3.9177e+14
11000,3.91899e+14
11100,3.9202e+14
11200,3.92134e+14
11300,3.92243e+14
11400,3.92347e+14
11500,3.92445e+14
11600,3.92539e+14
11700,3.9263e+14
11800,3.92717e+14
11900,3.92801e+14
12000,3.92882e+14
12100,3.92961e+14
12200,3.93038e+14
12300,3.93114e+14
12400,3.93187e+14
12500,3.93259e+14
12600,3.93331e+14
12700,3.93401e+14
12800,3.93471e+14
12900,3.93541e+14
13000,3.9361e+14
13100,3.9368e+14
13200,3.9375e+14
13300,3.9382e+14
13400,3.93892e+14
13500,3.93963e+14
13600,3.94037e+14
13700,3.94112e+14
13800,3.94188e+14
13900,3.94266e+14
14000,3.94347e+14
14100,3.94431e+14
14200,3.94517e+14
14300,3.94608e+14
14400,3.94702e+14
14500,3.948e+14
14600,3.94902e+14
14700,3.95011e+14
14800,3.95124e+14
14900,3.95245e+14
15000,3.95372e+14
15100,3.95507e+14
15200,3.95649e+14
15300,3.95801e+14
15400,3.95964e+14
15500,3.96139e+14
15600,3.96325e+14
15700,3.96524e+14
15800,3.9674e+14
15900,3.96975e+14
16000,3.97226e+14
16100,3.97497e+14
16200,3.9779e+14
16300,3.98109e+14
16400,3.98456e+14
16500,3.9883e+14
16600,3.9924e+14
16700,3.99684e+14
16800,4.00168e+14
16900,4.00695e+14
17000,4.01275e+14
17100,4.01903e+14
17200,4.02584e+14
17300,4.03325e+14
17400,4.04142e+14
17500,4.05029e+14
17600,4.06001e+14
17700,4.07057e+14
17800,4.08205e+14
17900,4.09461e+14
18000,4.1082e+14
18100,4.12305e+14
18200,4.13913e+14
18300,4.15675e+14
18400,4.17583e+14
18500,4.19647e+14
18600,4.21876e+14
18700,4.24282e+14
18800,4.26902e+14
18900,4.29695e+14
19000,4.32686e+14
19100,4.35916e+14
19200,4.39413e+14
19300,4.43147e+14
19400,4.47118e+14
19500,4.51319e+14
19600,4.55773e+14
19700,4.60512e+14
19800,4.65472e+14
19900,4.70791e+14
20000,4.76399e+14
20100,4.82259e+14
20200,4.88313e+14
20300,4.94567e+14
20400,5.01194e+14
20500,5.08103e+14
20600,5.15176e+14
20700,5.22534e+14
20800,5.30049e+14
20900,5.37783e+14
21000,5.45673e+14
21100,5.53685e+14
21200,5.61816e+14
21300,5.70029e+14
21400,5.78424e+14
21500,5.86914e+14
21600,5.9532e+14
21700,6.03806e+14
21800,6.12167e+14
21900,6.20518e+14
22000,6.28808e+14
22100,6.36951e+14
22200,6.45071e+14
22300,6.52989e+14
22400,6.60714e+14
22500,6.68232e+14
22600,6.75551e+14
22700,6.82659e+14
22800,6.89506e+14
22900,6.96134e+14
23000,7.02461e+14
23100,7.08548e+14
23200,7.14342e+14
23300,7.1985e+14
23400,7.2507e+14
23500,7.30097e+14
23600,7.34826e+14
23700,7.39291e+14
23800,7.43472e+14
23900,7.47406e+14
24000,7.51106e+14
24100,7.5457e+14
24200,7.57809e+14
24300,7.60829e+14
24400,7.63632e+14
24500,7.66217e+14
24600,7.68624e+14
24700,7.7087e+14
24800,7.72941e+14
24900,7.74846e+14
25000,7.76607e+14
25100,7.78217e+14
25200,7.79703e+14
25300,7.81065e+14
25400,7.82317e+14
25500,7.83462e+14
25600,7.84514e+14
25700,7.85491e+14
25800,7.86381e+14
25900,7.87194e+14
26000,7.87938e+14
26100,7.88623e+14
26200,7.89251e+14
26300,7.89826e+14
26400,7.90353e+14
26500,7.90838e+14
26600,7.91282e+14
26700,7.91688e+14
26800,7.92063e+14
26900,7.9241e+14
27000,7.92729e+14
27100,7.93026e+14
27200,7.93296e+14
27300,7.93548e+14
27400,7.93781e+14
27500,7.93996e+14
27600,7.94193e+14
27700,7.94381e+14
27800,7.94555e+14
27900,7.94717e+14
28000,7.94868e+14
28100,7.95011e+14
28200,7.95145e+14
28300,7.95271e+14
28400,7.9539e+14
28500,7.95503e+14
28600,7.95611e+14
28700,7.95714e+14
28800,7.95812e+14
28900,7.95905e+14
29000,7.95995e+14
29100,7.96081e+14
29200,7.96165e+14
29300,7.96246e+14
29400,7.96324e+14
29500,7.96402e+14
29600,7.96477e+14
29700,7.96551e+14
29800,7.96623e+14
29900,7.96695e+14
30000,7.96765e+14
30100,7.96835e+14
30200,7.96904e+14
30300,7.96974e+14
30400,7.97044e+14
30500,7.97114e+14
30600,7.97184e+14
30700,7.97255e+14
30800,7.97327e+14
30900,7.97401e+14
31000,7.97477e+14
31100,7.97554e+14
31200,7.97633e+14
31300,7.97715e+14
31400,7.97799e+14
31500,7.97885e+14
31600,7.97976e+14
31700,7.98071e+14
31800,7.9817e+14
31900,7.98274e+14
32000,7.98383e+14
32100,7.98497e+14
32200,7.9862e+14
32300,7.98748e+14
32400,7.98884e+14
32500,7.9903e+14
32600,7.99184e+14
32700,7.99349e+14
32800,7.99526e+14
32900,7.99715e+14
33000,7.99919e+14
33100,8.00138e+14
33200,8.00374e+14
33300,8.0063e+14
33400,8.00902e+14
33500,8.012e+14
33600,8.01524e+14
33700,8.01877e+14
33800,8.02259e+14
33900,8.02673e+14
34000,8.03127e+14
34100,8.03618e+14
34200,8.04156e+14
34300,8.04738e+14
34400,8.05373e+14
34500,8.06072e+14
34600,8.06834e+14
34700,8.07661e+14
34800,8.08563e+14
34900,8.09548e+14
35000,8.10621e+14
35100,8.11781e+14
35200,8.13062e+14
35300,8.14456e+14
35400,8.15971e+14
35500,8.17622e+14
35600,8.19408e+14
35700,8.21344e+14
35800,8.23425e+14
35900,8.25688e+14
36000,8.28141e+14
36100,8.30772e+14
36200,8.33629e+14
36300,8.36694e+14
36400,8.39976e+14
36500,8.43498e+14
36600,8.47236e+14
36700,8.5121e+14
36800,8.55445e+14
36900,8.59966e+14
37000,8.64757e+14
37100,8.69801e+14
37200,8.75131e+14
37300,8.80703e+14
37400,8.86545e+14
37500,8.92684e+14
37600,8.99093e+14
37700,9.05773e+14
37800,9.12693e+14
37900,9.1984e+14
38000,9.27172e+14
38100,9.34728e+14
38200,9.42456e+14
38300,9.50427e+14
38400,9.5849e+14
38500,9.66694e+14
38600,9.74967e+14
38700,9.83342e+14
38800,9.91709e+14
38900,1.00015e+15
