pass,max_damage
0,7.92485e+09
100,2.47955e+11
200,5.12687e+11
300,7.52479e+11
400,1.02093e+12
500,1.36787e+12
600,1.73541e+12
700,2.06985e+12
800,2.48186e+12
900,2.99244e+12
1000,3.45242e+12
1100,3.91151e+12
1200,4.51624e+12
1300,5.14733e+12
1400,5.75005e+12
1500,6.59075e+12
1600,7.42814e+12
1700,8.40951e+12
1800,9.31582e+12
1900,1.04232e+13
2000,1.16799e+13
2100,1.28466e+13
2200,1.42138e+13
2300,1.51505e+13
2400,1.67697e+13
2500,1.8042e+13
2600,1.97502e+13
2700,2.13199e+13
2800,2.32331e+13
2900,2.48398e+13
3000,2.67107e+13
3100,2.88863e+13
3200,3.04772e+13
3300,3.27825e+13
3400,3.46961e+13
3500,3.69505e+13
3600,3.87156e+13
3700,4.1119e+13
3800,4.33409e+13
3900,4.57176e+13
4000,4.80297e+13
4100,5.02736e+13
4200,5.28792e+13
4300,5.57255e+13
4400,5.8246e+13
4500,6.06415e+13
4600,6.36062e+13
4700,6.66505e+13
4800,6.92453e+13
4900,7.2125e+13
5000,7.47496e+13
5100,7.67747e+13
5200,7.90677e+13
5300,8.09751e+13
5400,8.2751e+13
5500,8.4528e+13
5600,8.61162e+13
5700,8.83604e+13
5800,8.99935e+13
5900,9.16372e+13
6000,9.33177e+13
6100,9.49779e+13
6200,9.64064e+13
6300,9.77199e+13
6400,9.87931e+13
6500,1.00117e+14
6600,1.01209e+14
6700,1.02285e+14
6800,1.03508e+14
6900,1.0448e+14
7000,1.05539e+14
7100,1.06347e+14
7200,1.07264e+14
7300,1.07866e+14
7400,1.08469e+14
7500,1.09106e+14
7600,1.09597e+14
7700,1.10205e+14
7800,1.10662e+14
7900,1.11089e+14
8000,1.1159e+14
8100,1.11965e+14
8200,1.1229e+14
8300,1.12627e+14
8400,1.12906e+14
8500,1.13207e+14
8600,1.13437e+14
8700,1.13627e+14
8800,1.13926e+14
8900,1.14094e+14
9000,1.14246e+14
9100,1.14393e+14
9200,1.14566e+14
9300,1.14731e+14
9400,1.14834e+14
9500,1.14936e+14
9600,1.15061e+14
9700,1.15149e+14
9800,1.15255e+14
9900,1.15327e+14
10000,1.15393e+14
10100,1.15462e+14
10200,1.15524e+14
10300,1.15578e+14
10400,1.15633e+14
10500,1.15679e+14
10600,1.15726e+14
10700,1.15768e+14
10800,1.15813e+14
10900,1.15855e+14
11000,1.15898e+14
11100,1.1594e+14
11200,1.15973e+14
11300,1.16003e+14
11400,1.16034e+14
11500,1.16064e+14
11600,1.16091e+14
11700,1.16123e+14
11800,1.1615e+14
11900,1.16175e+14
12000,1.16197e+14
12100,1.16222e+14
12200,1.16244e+14
12300,1.1627e+14
