pass,max_damage
0,7.92485e+09
100,2.76772e+11
200,5.74882e+11
300,9.42975e+11
400,1.273e+12
500,1.67595e+12
600,2.08429e+12
700,2.55068e+12
800,3.1241e+12
900,3.67803e+12
1000,4.25239e+12
1100,4.90387e+12
1200,5.4937e+12
1300,6.1091e+12
1400,7.23583e+12
1500,8.15306e+12
1600,9.16445e+12
1700,1.01809e+13
1800,1.11673e+13
1900,1.23275e+13
2000,1.34265e+13
2100,1.46066e+13
2200,1.56646e+13
2300,1.71698e+13
2400,1.87977e+13
2500,2.06539e+13
2600,2.22515e+13
2700,2.39622e+13
2800,2.63017e+13
2900,2.80793e+13
3000,3.01843e+13
3100,3.26297e+13
3200,3.46894e+13
3300,3.72803e+13
3400,4.01644e+13
3500,4.28834e+13
3600,4.52081e+13
3700,4.82958e+13
3800,5.072e+13
3900,5.29182e+13
4000,5.52382e+13
4100,5.79569e+13
4200,6.0718e+13
4300,6.34093e+13
4400,6.56955e+13
4500,6.87191e+13
4600,7.11608e+13
4700,7.35214e+13
4800,7.61797e+13
4900,7.95094e+13
5000,8.23901e+13
5100,8.48195e+13
5200,8.68614e+13
5300,8.91903e+13
5400,9.13653e+13
5500,9.35608e+13
5600,9.56754e+13
5700,9.79108e+13
5800,9.94569e+13
5900,1.01453e+14
6000,1.02952e+14
6100,1.04739e+14
6200,1.06307e+14
6300,1.07781e+14
6400,1.09526e+14
6500,1.11103e+14
6600,1.12536e+14
6700,1.13877e+14
6800,1.15032e+14
6900,1.16196e+14
7000,1.17212e+14
7100,1.17991e+14
7200,1.18932e+14
7300,1.19658e+14
7400,1.2047e+14
7500,1.21129e+14
7600,1.21799e+14
7700,1.2239e+14
7800,1.22955e+14
7900,1.23488e+14
8000,1.23941e+14
8100,1.24309e+14
8200,1.24701e+14
8300,1.25014e+14
8400,1.25346e+14
8500,1.25614e+14
8600,1.25848e+14
8700,1.26083e+14
8800,1.26332e+14
8900,1.26534e+14
9000,1.26759e+14
9100,1.26959e+14
9200,1.27134e+14
9300,1.2729e+14
9400,1.27439e+14
9500,1.27561e+14
9600,1.27651e+14
9700,1.27743e+14
9800,1.27852e+14
9900,1.27945e+14
10000,1.28038e+14
10100,1.28117e+14
10200,1.2819e+14
10300,1.28267e+14
10400,1.2832e+14
10500,1.28379e+14
10600,1.28431e+14
10700,1.28478e+14
10800,1.28524e+14
10900,1.28575e+14
11000,1.28612e+14
11100,1.28647e+14
11200,1.28684e+14
11300,1.28716e+14
11400,1.2875e+14
11500,1.28786e+14
11600,1.28813e+14
11700,1.28838e+14
11800,1.28869e+14
11900,1.28901e+14
12000,1.28928e+14
12100,1.28954e+14
12200,1.28978e+14
12300,1.29003e+14
12400,1.29026e+14
12500,1.29053e+14
12600,1.29077e+14
12700,1.291e+14
12800,1.29125e+14
12900,1.29147e+14
13000,1.29171e+14
13100,1.2919e+14
13200,1.29214e+14
13300,1.29235e+14
13400,1.29261e+14
13500,1.29288e+14
13600,1.2931e+14
13700,1.29334e+14
13800,1.29355e+14
13900,1.29376e+14
14000,1.29407e+14
14100,1.29437e+14
14200,1.29462e+14
14300,1.29493e+14
14400,1.29529e+14
14500,1.29561e+14
14600,1.29594e+14
14700,1.29623e+14
14800,1.29659e+14
14900,1.29696e+14
15000,1.29741e+14
15100,1.29785e+14
15200,1.29827e+14
15300,1.29868e+14
15400,1.2992e+14
15500,1.29974e+14
15600,1.30036e+14
15700,1.30112e+14
15800,1.30196e+14
15900,1.30266e+14
16000,1.30331e+14
16100,1.30419e+14
16200,1.3051e+14
16300,1.30639e+14
16400,1.30725e+14
16500,1.30847e+14
16600,1.30973e+14
16700,1.3114e+14
16800,1.31299e+14
16900,1.31487e+14
17000,1.31678e+14
17100,1.31911e+14
17200,1.32065e+14
17300,1.32296e+14
17400,1.32592e+14
17500,1.32881e+14
17600,1.33227e+14
17700,1.33546e+14
17800,1.33918e+14
17900,1.34363e+14
18000,1.34774e+14
18100,1.35191e+14
18200,1.35719e+14
18300,1.36217e+14
18400,1.36868e+14
18500,1.37503e+14
18600,1.38216e+14
18700,1.39015e+14
18800,1.39747e+14
18900,1.40697e+14
19000,1.41695e+14
19100,1.42693e+14
19200,1.44125e+14
19300,1.45353e+14
19400,1.46454e+14
19500,1.47862e+14
19600,1.49158e+14
19700,1.50435e+14
19800,1.52187e+14
19900,1.53917e+14
20000,1.55362e+14
20100,1.57232e+14
20200,1.59299e+14
20300,1.61572e+14
20400,1.6343e+14
20500,1.65692e+14
20600,1.68092e+14
20700,1.70492e+14
20800,1.7286e+14
20900,1.75052e+14
21000,1.77559e+14
21100,1.80071e+14
21200,1.82479e+14
21300,1.85062e+14
21400,1.87521e+14
21500,1.89891e+14
21600,1.92845e+14
21700,1.95781e+14
21800,1.98812e+14
21900,2.01627e+14
22000,2.03959e+14
22100,2.06381e+14
22200,2.08697e+14
22300,2.1147e+14
22400,2.14435e+14
22500,2.16722e+14
22600,2.19116e+14
22700,2.21554e+14
22800,2.23624e+14
22900,2.25739e+14
23000,2.28375e+14
23100,2.30276e+14
23200,2.32369e+14
23300,2.33856e+14
23400,2.35406e+14
23500,2.36882e+14
23600,2.3853e+14
23700,2.39764e+14
23800,2.41079e+14
23900,2.42567e+14
24000,2.43753e+14
24100,2.44877e+14
24200,2.45974e+14
24300,2.47003e+14
24400,2.47824e+14
24500,2.48507e+14
24600,2.49175e+14
24700,2.49887e+14
24800,2.50538e+14
24900,2.51226e+14
25000,2.51785e+14
25100,2.52303e+14
25200,2.52721e+14
25300,2.53205e+14
25400,2.5361e+14
25500,2.54002e+14
25600,2.54378e+14
25700,2.5472e+14
25800,2.55001e+14
25900,2.55232e+14
26000,2.55447e+14
26100,2.55682e+14
26200,2.55854e+14
26300,2.56035e+14
26400,2.56201e+14
26500,2.56395e+14
26600,2.56559e+14
26700,2.56682e+14
26800,2.56785e+14
26900,2.56891e+14
27000,2.56987e+14
27100,2.57073e+14
27200,2.57167e+14
27300,2.5724e+14
27400,2.57314e+14
27500,2.57377e+14
27600,2.57437e+14
27700,2.57513e+14
27800,2.57566e+14
27900,2.5762e+14
28000,2.57652e+14
28100,2.57694e+14
28200,2.57735e+14
28300,2.57772e+14
28400,2.57811e+14
28500,2.57852e+14
28600,2.57888e+14
28700,2.5792e+14
28800,2.57953e+14
28900,2.57983e+14
29000,2.58009e+14
29100,2.58038e+14
29200,2.58073e+14
29300,2.58101e+14
29400,2.58125e+14
29500,2.58153e+14
29600,2.5818e+14
29700,2.58202e+14
29800,2.58224e+14
29900,2.58251e+14
30000,2.58274e+14
30100,2.58292e+14
30200,2.58315e+14
30300,2.58339e+14
30400,2.5836e+14
30500,2.58379e+14
30600,2.58401e+14
30700,2.58421e+14
30800,2.58441e+14
30900,2.5847e+14
31000,2.58493e+14
31100,2.58523e+14
31200,2.58546e+14
31300,2.58571e+14
31400,2.58597e+14
31500,2.58627e+14
31600,2.58653e+14
31700,2.58683e+14
31800,2.58713e+14
31900,2.58749e+14
32000,2.58783e+14
32100,2.58815e+14
32200,2.5886e+14
32300,2.58901e+14
32400,2.58944e+14
32500,2.58999e+14
32600,2.59044e+14
32700,2.59098e+14
32800,2.59172e+14
32900,2.59238e+14
33000,2.59309e+14
33100,2.59366e+14
33200,2.59436e+14
33300,2.59527e+14
33400,2.59629e+14
33500,2.59711e+14
33600,2.59806e+14
33700,2.59926e+14
33800,2.60047e+14
33900,2.60186e+14
34000,2.60334e+14
34100,2.60475e+14
34200,2.60651e+14
34300,2.60832e+14
34400,2.6103e+14
34500,2.61224e+14
34600,2.61474e+14
34700,2.6171e+14
34800,2.6208e+14
34900,2.62372e+14
35000,2.62774e+14
35100,2.63196e+14
35200,2.63633e+14
35300,2.64145e+14
35400,2.64559e+14
35500,2.65012e+14
35600,2.6561e+14
35700,2.66324e+14
35800,2.67077e+14
35900,2.67961e+14
36000,2.68741e+14
36100,2.69734e+14
36200,2.70657e+14
36300,2.71669e+14
36400,2.72774e+14
36500,2.73912e+14
36600,2.75019e+14
36700,2.76349e+14
36800,2.77538e+14
36900,2.79269e+14
37000,2.80899e+14
37100,2.82494e+14
37200,2.84299e+14
37300,2.86168e+14
