pass,max_damage
0,7.92485e+09
100,2.18753e+11
200,4.42214e+11
300,6.99508e+11
400,9.70206e+11
500,1.27799e+12
600,1.58957e+12
700,1.94704e+12
800,2.35597e+12
900,2.76745e+12
1000,3.19282e+12
1100,3.68482e+12
1200,4.22705e+12
1300,4.87478e+12
1400,5.44415e+12
1500,6.10214e+12
1600,6.81558e+12
1700,7.62826e+12
1800,8.50851e+12
1900,9.35147e+12
2000,1.02662e+13
2100,1.13159e+13
2200,1.24192e+13
2300,1.35635e+13
2400,1.47922e+13
2500,1.60837e+13
2600,1.75043e+13
2700,1.89621e+13
2800,2.0407e+13
2900,2.21211e+13
3000,2.37342e+13
3100,2.53927e+13
3200,2.71868e+13
3300,2.89619e+13
3400,3.08664e+13
3500,3.28784e+13
3600,3.48929e+13
3700,3.69516e+13
3800,3.90033e+13
3900,4.11228e+13
4000,4.34674e+13
4100,4.54938e+13
4200,4.7785e+13
4300,4.98881e+13
4400,5.20584e+13
4500,5.44223e+13
4600,5.66073e+13
4700,5.87541e+13
4800,6.08304e+13
4900,6.29511e+13
5000,6.50413e+13
5100,6.71872e+13
5200,6.94628e+13
5300,7.10314e+13
5400,7.28062e+13
5500,7.47353e+13
5600,7.63224e+13
5700,7.80555e+13
5800,7.96643e+13
5900,8.12206e+13
6000,8.27424e+13
6100,8.41135e+13
6200,8.54252e+13
6300,8.66869e+13
6400,8.78116e+13
6500,8.89547e+13
6600,9.00112e+13
6700,9.09416e+13
6800,9.18625e+13
6900,9.2721e+13
7000,9.35344e+13
7100,9.4248e+13
7200,9.49951e+13
7300,9.56488e+13
7400,9.62265e+13
7500,9.67225e+13
7600,9.72363e+13
7700,9.77338e+13
7800,9.81313e+13
7900,9.85151e+13
8000,9.88742e+13
8100,9.92053e+13
8200,9.95252e+13
8300,9.98e+13
8400,1.00083e+14
8500,1.00306e+14
8600,1.00519e+14
8700,1.00713e+14
8800,1.00901e+14
8900,1.01064e+14
9000,1.01214e+14
9100,1.01357e+14
9200,1.01483e+14
9300,1.01603e+14
9400,1.01707e+14
9500,1.01805e+14
9600,1.01899e+14
9700,1.01977e+14
9800,1.02067e+14
9900,1.02138e+14
10000,1.022e+14
10100,1.02265e+14
10200,1.02322e+14
10300,1.02373e+14
10400,1.02425e+14
10500,1.02464e+14
10600,1.02512e+14
10700,1.02554e+14
10800,1.0259e+14
10900,1.02625e+14
11000,1.02656e+14
11100,1.02685e+14
11200,1.0272e+14
11300,1.02748e+14
11400,1.02773e+14
11500,1.028e+14
11600,1.02826e+14
11700,1.02846e+14
11800,1.02869e+14
11900,1.02892e+14
12000,1.02916e+14
12100,1.02937e+14
12200,1.02956e+14
12300,1.02972e+14
12400,1.02993e+14
