pass,max_damage
0,7.92485e+09
100,2.93052e+11
200,5.84987e+11
300,9.02529e+11
400,1.25833e+12
500,1.63757e+12
600,2.05987e+12
700,2.51088e+12
800,3.00702e+12
900,3.55302e+12
1000,4.11674e+12
1100,4.7386e+12
1200,5.40578e+12
1300,6.15721e+12
1400,6.95353e+12
1500,7.81098e+12
1600,8.76565e+12
1700,9.79418e+12
1800,1.0845e+13
1900,1.19462e+13
2000,1.32143e+13
2100,1.45387e+13
2200,1.58902e+13
2300,1.73911e+13
2400,1.90077e+13
2500,2.06021e+13
2600,2.2322e+13
2700,2.41989e+13
2800,2.60931e+13
2900,2.81464e+13
3000,3.02297e+13
3100,3.24246e+13
3200,3.47332e+13
3300,3.70279e+13
3400,3.94622e+13
3500,4.19595e+13
3600,4.45701e+13
3700,4.72309e+13
3800,4.98529e+13
3900,5.25641e+13
4000,5.53598e+13
4100,5.81303e+13
4200,6.09334e+13
4300,6.37337e+13
4400,6.65695e+13
4500,6.93153e+13
4600,7.21613e+13
4700,7.49874e+13
4800,7.75996e+13
4900,8.03284e+13
5000,8.29579e+13
5100,8.57266e+13
5200,8.81967e+13
5300,9.0682e+13
5400,9.29778e+13
5500,9.5258e+13
5600,9.75929e+13
5700,9.96918e+13
5800,1.01917e+14
5900,1.03695e+14
6000,1.05592e+14
6100,1.07412e+14
6200,1.09031e+14
6300,1.10639e+14
6400,1.12159e+14
6500,1.13626e+14
6600,1.14986e+14
6700,1.16231e+14
6800,1.17359e+14
6900,1.18544e+14
7000,1.19492e+14
7100,1.20426e+14
7200,1.21299e+14
7300,1.22128e+14
7400,1.22902e+14
7500,1.23583e+14
7600,1.24238e+14
7700,1.24887e+14
7800,1.254e+14
7900,1.25901e+14
8000,1.26355e+14
8100,1.26788e+14
8200,1.2717e+14
8300,1.27521e+14
8400,1.27868e+14
8500,1.2816e+14
8600,1.28431e+14
8700,1.28699e+14
8800,1.28921e+14
8900,1.29132e+14
9000,1.2933e+14
9100,1.29504e+14
9200,1.29669e+14
9300,1.29822e+14
9400,1.29957e+14
9500,1.30087e+14
9600,1.30203e+14
9700,1.3031e+14
9800,1.30416e+14
9900,1.30506e+14
10000,1.30587e+14
10100,1.30666e+14
10200,1.30739e+14
10300,1.30807e+14
10400,1.30873e+14
10500,1.30932e+14
10600,1.30989e+14
10700,1.31039e+14
10800,1.31088e+14
10900,1.31135e+14
11000,1.31173e+14
11100,1.31215e+14
11200,1.31254e+14
11300,1.3129e+14
11400,1.31325e+14
11500,1.31357e+14
11600,1.3139e+14
11700,1.31418e+14
11800,1.31447e+14
11900,1.31476e+14
12000,1.31503e+14
12100,1.31529e+14
12200,1.31555e+14
12300,1.31583e+14
12400,1.31606e+14
12500,1.3163e+14
12600,1.31654e+14
12700,1.31678e+14
12800,1.31704e+14
12900,1.31725e+14
13000,1.31748e+14
13100,1.31771e+14
13200,1.31796e+14
13300,1.31818e+14
13400,1.31843e+14
13500,1.31865e+14
13600,1.31891e+14
13700,1.31916e+14
13800,1.31942e+14
13900,1.31968e+14
14000,1.31995e+14
14100,1.32024e+14
14200,1.32054e+14
14300,1.32084e+14
14400,1.32112e+14
14500,1.32147e+14
14600,1.3218e+14
14700,1.32217e+14
14800,1.32257e+14
14900,1.32296e+14
15000,1.32337e+14
15100,1.32383e+14
15200,1.32431e+14
15300,1.32483e+14
15400,1.32539e+14
15500,1.32597e+14
15600,1.32657e+14
15700,1.32722e+14
15800,1.32795e+14
15900,1.32875e+14
16000,1.32962e+14
16100,1.33052e+14
16200,1.33145e+14
16300,1.33254e+14
16400,1.3337e+14
16500,1.33502e+14
16600,1.33635e+14
16700,1.33787e+14
16800,1.3395e+14
16900,1.34136e+14
17000,1.34313e+14
17100,1.34533e+14
17200,1.3475e+14
17300,1.35005e+14
17400,1.35273e+14
17500,1.35581e+14
17600,1.35917e+14
17700,1.36265e+14
17800,1.36649e+14
17900,1.37089e+14
18000,1.37523e+14
18100,1.38033e+14
18200,1.38584e+14
18300,1.39164e+14
18400,1.39805e+14
18500,1.40497e+14
18600,1.41254e+14
18700,1.42035e+14
18800,1.42916e+14
18900,1.43868e+14
19000,1.44856e+14
19100,1.45937e+14
19200,1.47108e+14
19300,1.48349e+14
19400,1.49668e+14
19500,1.51079e+14
19600,1.52612e+14
19700,1.54196e+14
19800,1.55926e+14
19900,1.57578e+14
20000,1.59413e+14
20100,1.61457e+14
20200,1.63421e+14
20300,1.65575e+14
20400,1.6779e+14
20500,1.70098e+14
20600,1.72461e+14
20700,1.74905e+14
20800,1.77456e+14
20900,1.80008e+14
21000,1.82682e+14
21100,1.85379e+14
21200,1.88216e+14
21300,1.91019e+14
21400,1.93781e+14
21500,1.96549e+14
21600,1.99362e+14
21700,2.02277e+14
21800,2.05024e+14
21900,2.07824e+14
22000,2.10532e+14
22100,2.13242e+14
22200,2.15953e+14
22300,2.18722e+14
22400,2.21214e+14
22500,2.23725e+14
22600,2.26172e+14
22700,2.28625e+14
22800,2.30879e+14
22900,2.33067e+14
23000,2.35157e+14
23100,2.3716e+14
23200,2.391e+14
23300,2.40978e+14
23400,2.4282e+14
23500,2.44396e+14
23600,2.45993e+14
23700,2.47499e+14
23800,2.48933e+14
23900,2.50275e+14
24000,2.51457e+14
