pass,max_damage
0,7.92485e+09
100,2.54137e+11
200,5.22113e+11
300,7.97676e+11
400,1.11025e+12
500,1.45569e+12
600,1.83245e+12
700,2.26581e+12
800,2.67939e+12
900,3.15421e+12
1000,3.69783e+12
1100,4.23842e+12
1200,4.86542e+12
1300,5.5448e+12
1400,6.24048e+12
1500,6.97563e+12
1600,7.82859e+12
1700,8.69424e+12
1800,9.72241e+12
1900,1.05742e+13
2000,1.16244e+13
2100,1.28356e+13
2200,1.41348e+13
2300,1.53158e+13
2400,1.66689e+13
2500,1.80932e+13
2600,1.97637e+13
2700,2.14676e+13
2800,2.3129e+13
2900,2.49518e+13
3000,2.67613e+13
3100,2.85972e+13
3200,3.05318e+13
3300,3.24847e+13
3400,3.49464e+13
3500,3.71989e+13
3600,3.9488e+13
3700,4.17624e+13
3800,4.43631e+13
3900,4.66838e+13
4000,4.92497e+13
4100,5.17906e+13
4200,5.42575e+13
4300,5.68055e+13
4400,5.93011e+13
4500,6.15439e+13
4600,6.39909e+13
4700,6.66102e+13
4800,6.92038e+13
4900,7.16483e+13
5000,7.3861e+13
5100,7.61287e+13
5200,7.85626e+13
5300,8.06044e+13
5400,8.26559e+13
5500,8.49974e+13
5600,8.68508e+13
5700,8.867e+13
5800,9.05169e+13
5900,9.22821e+13
6000,9.39161e+13
6100,9.53094e+13
6200,9.69796e+13
6300,9.84257e+13
6400,9.97179e+13
6500,1.00832e+14
6600,1.02033e+14
6700,1.0301e+14
6800,1.03991e+14
6900,1.04939e+14
7000,1.05843e+14
7100,1.06664e+14
7200,1.07376e+14
7300,1.08042e+14
7400,1.0874e+14
7500,1.0938e+14
7600,1.10073e+14
7700,1.10594e+14
7800,1.1109e+14
7900,1.1151e+14
8000,1.11883e+14
8100,1.12232e+14
8200,1.12573e+14
8300,1.12888e+14
8400,1.13199e+14
8500,1.13471e+14
8600,1.13781e+14
8700,1.14014e+14
8800,1.14227e+14
8900,1.14423e+14
9000,1.14584e+14
9100,1.14757e+14
9200,1.1487e+14
9300,1.14996e+14
9400,1.15114e+14
9500,1.15226e+14
9600,1.15321e+14
9700,1.15411e+14
9800,1.15522e+14
9900,1.15613e+14
10000,1.15692e+14
10100,1.1577e+14
10200,1.15829e+14
10300,1.15899e+14
10400,1.1596e+14
10500,1.16011e+14
10600,1.16059e+14
10700,1.16104e+14
10800,1.1614e+14
10900,1.16187e+14
11000,1.16219e+14
11100,1.16248e+14
11200,1.1628e+14
11300,1.16309e+14
11400,1.16342e+14
11500,1.16368e+14
11600,1.16394e+14
11700,1.16424e+14
11800,1.16453e+14
11900,1.16477e+14
12000,1.16504e+14
12100,1.16527e+14
12200,1.16545e+14
12300,1.1657e+14
12400,1.16595e+14
12500,1.16616e+14
12600,1.16635e+14
12700,1.16657e+14
12800,1.16678e+14
12900,1.16698e+14
13000,1.16723e+14
13100,1.16742e+14
13200,1.16757e+14
13300,1.16783e+14
13400,1.16804e+14
13500,1.16821e+14
13600,1.16848e+14
13700,1.16872e+14
13800,1.16895e+14
13900,1.16916e+14
14000,1.16942e+14
14100,1.16969e+14
14200,1.16997e+14
14300,1.1702e+14
14400,1.17046e+14
14500,1.17075e+14
