pass,max_damage
0,7.92485e+09
100,2.17279e+11
200,4.47272e+11
300,7.11784e+11
400,9.79601e+11
500,1.30542e+12
600,1.59636e+12
700,1.96201e+12
800,2.36509e+12
900,2.78249e+12
1000,3.22739e+12
1100,3.7311e+12
1200,4.28267e+12
1300,4.84072e+12
1400,5.46312e+12
1500,6.14624e+12
1600,6.87381e+12
1700,7.71931e+12
1800,8.55287e+12
1900,9.45603e+12
2000,1.03671e+13
2100,1.14424e+13
2200,1.25797e+13
2300,1.36858e+13
2400,1.4884e+13
2500,1.62066e+13
2600,1.76201e+13
2700,1.89815e+13
2800,2.05197e+13
2900,2.21535e+13
3000,2.38139e+13
3100,2.57651e+13
3200,2.72925e+13
3300,2.92003e+13
3400,3.11711e+13
3500,3.33913e+13
3600,3.50934e+13
3700,3.73293e+13
3800,3.97715e+13
3900,4.18021e+13
4000,4.38072e+13
4100,4.58111e+13
4200,4.80223e+13
4300,5.02808e+13
4400,5.25319e+13
4500,5.47484e+13
4600,5.6863e+13
4700,5.91321e+13
4800,6.11816e+13
4900,6.3462e+13
5000,6.54296e+13
5100,6.75053e+13
5200,6.97e+13
5300,7.1394e+13
5400,7.34184e+13
5500,7.52441e+13
5600,7.68527e+13
5700,7.85802e+13
5800,8.03092e+13
5900,8.16994e+13
6000,8.32077e+13
6100,8.4607e+13
6200,8.59688e+13
6300,8.72044e+13
6400,8.84317e+13
6500,8.96597e+13
6600,9.0731e+13
6700,9.16068e+13
6800,9.24858e+13
6900,9.33777e+13
7000,9.42054e+13
7100,9.49594e+13
7200,9.56273e+13
7300,9.62888e+13
7400,9.68609e+13
7500,9.74394e+13
7600,9.80379e+13
7700,9.84451e+13
7800,9.88651e+13
7900,9.92421e+13
8000,9.95922e+13
8100,9.99265e+13
8200,1.00263e+14
8300,1.00548e+14
8400,1.00827e+14
8500,1.01038e+14
8600,1.01253e+14
8700,1.01457e+14
8800,1.01671e+14
8900,1.01804e+14
9000,1.01974e+14
9100,1.02113e+14
9200,1.0224e+14
9300,1.02354e+14
9400,1.02466e+14
9500,1.02573e+14
9600,1.02663e+14
9700,1.02744e+14
9800,1.02824e+14
9900,1.02894e+14
10000,1.02966e+14
10100,1.03024e+14
10200,1.03082e+14
10300,1.03139e+14
10400,1.03188e+14
10500,1.03235e+14
10600,1.03277e+14
10700,1.03315e+14
10800,1.03353e+14
10900,1.03387e+14
11000,1.03425e+14
11100,1.03455e+14
11200,1.03486e+14
11300,1.03515e+14
11400,1.03542e+14
11500,1.03565e+14
11600,1.03591e+14
11700,1.03615e+14
11800,1.03637e+14
11900,1.03662e+14
12000,1.03681e+14
12100,1.03704e+14
12200,1.03724e+14
12300,1.03742e+14
12400,1.03762e+14
12500,1.03781e+14
12600,1.03801e+14
12700,1.03818e+14
12800,1.03837e+14
12900,1.03857e+14
13000,1.03875e+14
13100,1.03891e+14
13200,1.03911e+14
13300,1.0393e+14
13400,1.03946e+14
13500,1.03966e+14
13600,1.03987e+14
13700,1.04005e+14
13800,1.04028e+14
13900,1.04045e+14
14000,1.0407e+14
14100,1.0409e+14
14200,1.04111e+14
14300,1.04138e+14
14400,1.04162e+14
14500,1.04187e+14
14600,1.04214e+14
14700,1.04246e+14
14800,1.04275e+14
14900,1.04306e+14
15000,1.0434e+14
15100,1.04375e+14
15200,1.04415e+14
15300,1.04454e+14
15400,1.04493e+14
15500,1.04541e+14
15600,1.04593e+14
15700,1.04644e+14
15800,1.047e+14
15900,1.04765e+14
16000,1.04839e+14
16100,1.04901e+14
16200,1.04976e+14
16300,1.05065e+14
16400,1.05161e+14
16500,1.05261e+14
16600,1.05359e+14
16700,1.0548e+14
16800,1.05613e+14
16900,1.05746e+14
17000,1.05893e+14
17100,1.06065e+14
17200,1.0625e+14
17300,1.06453e+14
17400,1.06649e+14
17500,1.06897e+14
17600,1.07161e+14
17700,1.07446e+14
17800,1.07727e+14
17900,1.08065e+14
18000,1.0844e+14
18100,1.0886e+14
18200,1.09247e+14
18300,1.09719e+14
18400,1.1025e+14
18500,1.10743e+14
18600,1.11338e+14
18700,1.11963e+14
18800,1.12645e+14
18900,1.13424e+14
19000,1.14256e+14
19100,1.15037e+14
19200,1.15999e+14
19300,1.17007e+14
