pass,max_damage
0,7.92485e+09
100,8.07998e+11
200,1.67611e+12
300,2.62728e+12
400,3.66858e+12
500,4.80011e+12
600,6.03121e+12
700,7.3694e+12
800,8.82797e+12
900,1.04214e+13
1000,1.21598e+13
1100,1.40196e+13
1200,1.60597e+13
1300,1.82332e+13
1400,2.06046e+13
1500,2.31747e+13
1600,2.59465e+13
1700,2.89394e+13
1800,3.21265e+13
1900,3.55372e+13
2000,3.91869e+13
2100,4.30879e+13
2200,4.72325e+13
2300,5.16295e+13
2400,5.62394e+13
2500,6.1174e+13
2600,6.6406e+13
2700,7.19191e+13
2800,7.76803e+13
2900,8.36642e+13
3000,9.001e+13
3100,9.66162e+13
3200,1.03389e+14
3300,1.10412e+14
3400,1.17684e+14
3500,1.25183e+14
3600,1.32877e+14
3700,1.40831e+14
3800,1.48881e+14
3900,1.57e+14
4000,1.65291e+14
4100,1.73648e+14
4200,1.8206e+14
4300,1.90469e+14
4400,1.98925e+14
4500,2.07331e+14
4600,2.15705e+14
4700,2.23968e+14
4800,2.32183e+14
4900,2.40255e+14
5000,2.48158e+14
5100,2.55922e+14
5200,2.63529e+14
5300,2.70901e+14
5400,2.77964e+14
5500,2.84879e+14
5600,2.91536e+14
5700,2.97975e+14
5800,3.04064e+14
5900,3.09957e+14
6000,3.15575e+14
6100,3.20883e+14
6200,3.25935e+14
6300,3.30708e+14
6400,3.35209e+14
6500,3.39474e+14
6600,3.43463e+14
6700,3.4721e+14
6800,3.50713e+14
6900,3.53973e+14
7000,3.5703e+14
7100,3.59878e+14
7200,3.62522e+14
7300,3.64953e+14
7400,3.6724e+14
7500,3.69351e+14
7600,3.71288e+14
7700,3.73068e+14
7800,3.74712e+14
7900,3.76215e+14
8000,3.77608e+14
8100,3.78889e+14
8200,3.80068e+14
8300,3.81147e+14
8400,3.82129e+14
8500,3.83029e+14
8600,3.83856e+14
8700,3.84614e+14
8800,3.85314e+14
8900,3.85954e+14
9000,3.86538e+14
9100,3.87074e+14
9200,3.87566e+14
9300,3.88012e+14
9400,3.88428e+14
9500,3.88811e+14
9600,3.8916e+14
9700,3.89485e+14
9800,3.89784e+14
9900,3.90061e+14
10000,3.90314e+14
10100,3.9055e+14
10200,3.90768e+14
10300,3.90971e+14
10400,3.91162e+14
10500,3.91338e+14
10600,3.91503e+14
10700,3.91657e+14
10800,3.91802e+14
10900,3.91937e+14
11000,3.92065e+14
11100,3.92187e+14
11200,3.92301e+14
11300,3.9241e+14
11400,3.92514e+14
11500,3.92613e+14
11600,3.92707e+14
11700,3.92798e+14
11800,3.92884e+14
11900,3.92968e+14
