pass,max_damage
0,7.92485e+09
100,2.57933e+11
200,5.31448e+11
300,8.20274e+11
400,1.15214e+12
500,1.55934e+12
600,1.93177e+12
700,2.36017e+12
800,2.86949e+12
900,3.29156e+12
1000,3.80294e+12
1100,4.39785e+12
1200,5.1672e+12
1300,5.85738e+12
1400,6.68303e+12
1500,7.4807e+12
1600,8.36084e+12
1700,9.3261e+12
1800,1.04147e+13
1900,1.17008e+13
2000,1.28196e+13
2100,1.42215e+13
2200,1.54831e+13
2300,1.68431e+13
2400,1.82488e+13
2500,1.9939e+13
2600,2.12717e+13
2700,2.30338e+13
2800,2.48625e+13
2900,2.65914e+13
3000,2.86485e+13
3100,3.11865e+13
3200,3.35507e+13
3300,3.59661e+13
3400,3.89203e+13
3500,4.11107e+13
3600,4.32798e+13
3700,4.5473e+13
3800,4.87666e+13
3900,5.17561e+13
4000,5.4334e+13
4100,5.72241e+13
4200,5.94595e+13
4300,6.17676e+13
4400,6.45751e+13
4500,6.71551e+13
4600,6.97325e+13
4700,7.24445e+13
4800,7.46051e+13
4900,7.74635e+13
5000,7.97475e+13
5100,8.19492e+13
5200,8.42405e+13
5300,8.68303e+13
5400,8.93445e+13
5500,9.13619e+13
5600,9.3533e+13
5700,9.57939e+13
5800,9.78642e+13
5900,9.95242e+13
6000,1.00941e+14
6100,1.02759e+14
6200,1.043e+14
6300,1.0591e+14
6400,1.07257e+14
6500,1.08693e+14
6600,1.09795e+14
6700,1.10998e+14
6800,1.12185e+14
6900,1.13313e+14
7000,1.14155e+14
7100,1.15024e+14
7200,1.1582e+14
7300,1.16515e+14
7400,1.17201e+14
7500,1.17894e+14
7600,1.18453e+14
7700,1.18903e+14
7800,1.19362e+14
7900,1.19807e+14
8000,1.20222e+14
8100,1.2064e+14
8200,1.21087e+14
8300,1.21356e+14
8400,1.21708e+14
8500,1.21986e+14
8600,1.22262e+14
8700,1.22518e+14
8800,1.22757e+14
8900,1.22923e+14
9000,1.23105e+14
9100,1.23254e+14
9200,1.23385e+14
9300,1.23525e+14
9400,1.23638e+14
9500,1.23762e+14
9600,1.23865e+14
9700,1.23959e+14
9800,1.24063e+14
9900,1.24175e+14
10000,1.24242e+14
10100,1.24323e+14
10200,1.24391e+14
10300,1.24457e+14
10400,1.24516e+14
10500,1.2457e+14
10600,1.24633e+14
10700,1.24672e+14
10800,1.24718e+14
10900,1.24764e+14
11000,1.24801e+14
11100,1.24836e+14
11200,1.24868e+14
11300,1.24904e+14
11400,1.24939e+14
11500,1.24972e+14
11600,1.25006e+14
11700,1.25032e+14
11800,1.25061e+14
11900,1.25092e+14
12000,1.25117e+14
12100,1.25144e+14
12200,1.25165e+14
12300,1.25188e+14
12400,1.2521e+14
12500,1.25233e+14
12600,1.25256e+14
12700,1.25276e+14
12800,1.25296e+14
12900,1.25318e+14
13000,1.25336e+14
13100,1.25357e+14
13200,1.25375e+14
13300,1.25396e+14
13400,1.2542e+14
13500,1.25442e+14
13600,1.2547e+14
13700,1.25496e+14
13800,1.25519e+14
13900,1.25541e+14
14000,1.25563e+14
14100,1.2559e+14
14200,1.25617e+14
14300,1.25648e+14
14400,1.2568e+14
14500,1.25716e+14
14600,1.25748e+14
14700,1.25777e+14
14800,1.25808e+14
14900,1.25851e+14
15000,1.2589e+14
15100,1.2594e+14
15200,1.25984e+14
15300,1.26032e+14
15400,1.26081e+14
15500,1.2613e+14
15600,1.26191e+14
15700,1.26252e+14
15800,1.26325e+14
15900,1.26394e+14
16000,1.26475e+14
