pass,max_damage
0,7.92485e+09
100,6.85019e+11
200,1.40627e+12
300,2.17365e+12
400,3.02204e+12
500,3.96374e+12
600,4.98469e+12
700,6.05356e+12
800,7.24172e+12
900,8.4711e+12
1000,9.84221e+12
1100,1.13153e+13
1200,1.30382e+13
1300,1.49456e+13
1400,1.68977e+13
1500,1.90577e+13
1600,2.11915e+13
1700,2.37084e+13
1800,2.62864e+13
1900,2.90245e+13
2000,3.19739e+13
2100,3.5384e+13
2200,3.85196e+13
2300,4.22092e+13
2400,4.60609e+13
2500,5.00996e+13
2600,5.43877e+13
2700,5.87688e+13
2800,6.33249e+13
2900,6.83346e+13
3000,7.35146e+13
3100,7.90755e+13
3200,8.47031e+13
3300,9.03508e+13
3400,9.61297e+13
3500,1.02607e+14
3600,1.09134e+14
3700,1.15465e+14
3800,1.21739e+14
3900,1.27993e+14
4000,1.35161e+14
4100,1.4227e+14
4200,1.49238e+14
4300,1.56172e+14
4400,1.62705e+14
4500,1.69553e+14
4600,1.76149e+14
4700,1.83091e+14
4800,1.8977e+14
4900,1.96576e+14
5000,2.02671e+14
5100,2.09002e+14
5200,2.1512e+14
5300,2.21024e+14
5400,2.26264e+14
5500,2.32004e+14
5600,2.3755e+14
5700,2.42222e+14
5800,2.47154e+14
5900,2.52057e+14
6000,2.56432e+14
6100,2.60804e+14
6200,2.64979e+14
6300,2.68747e+14
6400,2.7238e+14
6500,2.75864e+14
6600,2.78998e+14
6700,2.82078e+14
6800,2.84716e+14
6900,2.8715e+14
7000,2.8977e+14
7100,2.92025e+14
7200,2.94135e+14
7300,2.962e+14
7400,2.98073e+14
7500,2.99696e+14
7600,3.01222e+14
7700,3.02688e+14
7800,3.03981e+14
7900,3.05177e+14
8000,3.06349e+14
8100,3.07316e+14
8200,3.08228e+14
8300,3.09134e+14
8400,3.09933e+14
8500,3.10622e+14
8600,3.11298e+14
8700,3.1191e+14
8800,3.12511e+14
8900,3.1302e+14
9000,3.13525e+14
9100,3.13944e+14
9200,3.14334e+14
9300,3.14679e+14
9400,3.15025e+14
9500,3.1531e+14
9600,3.15594e+14
9700,3.15857e+14
9800,3.16109e+14
9900,3.16329e+14
10000,3.16539e+14
10100,3.16722e+14
10200,3.16913e+14
10300,3.17073e+14
10400,3.17231e+14
10500,3.1737e+14
10600,3.17499e+14
10700,3.17622e+14
10800,3.17731e+14
10900,3.17842e+14
11000,3.17948e+14
11100,3.18042e+14
11200,3.18136e+14
11300,3.1822e+14
11400,3.18308e+14
11500,3.18389e+14
11600,3.18464e+14
11700,3.18539e+14
11800,3.18613e+14
11900,3.18682e+14
12000,3.18749e+14
12100,3.18813e+14
12200,3.18876e+14
12300,3.18935e+14
12400,3.18992e+14
12500,3.19049e+14
12600,3.19106e+14
12700,3.19162e+14
12800,3.19215e+14
12900,3.19275e+14
13000,3.19329e+14
13100,3.19384e+14
13200,3.19436e+14
13300,3.19492e+14
13400,3.1955e+14
13500,3.19609e+14
13600,3.19672e+14
13700,3.19732e+14
13800,3.19795e+14
13900,3.19862e+14
14000,3.19927e+14
14100,3.19993e+14
14200,3.20065e+14
14300,3.20138e+14
14400,3.20212e+14
14500,3.20292e+14
14600,3.20371e+14
14700,3.20463e+14
14800,3.20555e+14
14900,3.20656e+14
15000,3.20754e+14
15100,3.20867e+14
15200,3.20978e+14
15300,3.211e+14
15400,3.21238e+14
15500,3.21381e+14
15600,3.2153e+14
15700,3.21687e+14
15800,3.21853e+14
15900,3.22033e+14
16000,3.22233e+14
16100,3.22458e+14
16200,3.22692e+14
16300,3.22955e+14
16400,3.23227e+14
16500,3.23527e+14
16600,3.23873e+14
16700,3.2424e+14
16800,3.24601e+14
16900,3.25007e+14
17000,3.25484e+14
17100,3.25967e+14
17200,3.26551e+14
17300,3.27184e+14
17400,3.2787e+14
17500,3.28579e+14
17600,3.29368e+14
17700,3.30253e+14
17800,3.31166e+14
17900,3.32167e+14
18000,3.33262e+14
18100,3.34432e+14
18200,3.35734e+14
18300,3.37086e+14
18400,3.38554e+14
18500,3.40278e+14
18600,3.42191e+14
18700,3.44121e+14
18800,3.46333e+14
18900,3.48614e+14
19000,3.50973e+14
19100,3.53613e+14
19200,3.56239e+14
19300,3.59165e+14
19400,3.62144e+14
19500,3.65725e+14
19600,3.69242e+14
19700,3.72931e+14
19800,3.76904e+14
19900,3.81195e+14
20000,3.85561e+14
20100,3.90565e+14
20200,3.95387e+14
20300,4.00682e+14
20400,4.05984e+14
20500,4.11481e+14
20600,4.1716e+14
20700,4.23288e+14
20800,4.29433e+14
20900,4.36073e+14
21000,4.41826e+14
21100,4.48643e+14
21200,4.55515e+14
21300,4.62509e+14
21400,4.6932e+14
21500,4.75966e+14
21600,4.8287e+14
21700,4.90006e+14
21800,4.96988e+14
21900,5.04148e+14
22000,5.11249e+14
22100,5.17641e+14
22200,5.24161e+14
22300,5.30778e+14
22400,5.37193e+14
22500,5.42707e+14
22600,5.48604e+14
22700,5.54269e+14
22800,5.59779e+14
22900,5.65134e+14
23000,5.70331e+14
23100,5.75276e+14
23200,5.79623e+14
23300,5.84275e+14
23400,5.88568e+14
23500,5.92559e+14
23600,5.96277e+14
23700,5.99547e+14
23800,6.02961e+14
23900,6.0626e+14
24000,6.09159e+14
24100,6.11998e+14
24200,6.14716e+14
24300,6.17102e+14
24400,6.19337e+14
24500,6.2133e+14
24600,6.23311e+14
24700,6.25087e+14
24800,6.26843e+14
24900,6.28385e+14
25000,6.29727e+14
25100,6.31097e+14
25200,6.32346e+14
25300,6.33468e+14
25400,6.34517e+14
25500,6.35461e+14
25600,6.36326e+14
25700,6.37111e+14
25800,6.37857e+14
25900,6.38479e+14
26000,6.3909e+14
26100,6.39652e+14
26200,6.40169e+14
26300,6.40628e+14
26400,6.41059e+14
26500,6.41457e+14
26600,6.41805e+14
26700,6.42144e+14
26800,6.42424e+14
26900,6.42715e+14
27000,6.42977e+14
27100,6.43223e+14
27200,6.43438e+14
27300,6.43631e+14
27400,6.43826e+14
27500,6.44007e+14
27600,6.44163e+14
27700,6.44317e+14
27800,6.44462e+14
27900,6.44594e+14
28000,6.44718e+14
28100,6.44837e+14
28200,6.44944e+14
28300,6.45047e+14
28400,6.45146e+14
28500,6.45239e+14
28600,6.45328e+14
28700,6.4541e+14
28800,6.4549e+14
28900,6.45565e+14
29000,6.45637e+14
29100,6.4571e+14
29200,6.45778e+14
29300,6.45846e+14
29400,6.4591e+14
29500,6.45978e+14
29600,6.46039e+14
29700,6.46101e+14
29800,6.4616e+14
29900,6.46216e+14
30000,6.46273e+14
30100,6.46325e+14
30200,6.46382e+14
30300,6.46437e+14
30400,6.46485e+14
30500,6.46543e+14
30600,6.46599e+14
30700,6.46657e+14
30800,6.46714e+14
30900,6.46775e+14
31000,6.46834e+14
31100,6.469e+14
31200,6.46964e+14
31300,6.47033e+14
31400,6.47099e+14
31500,6.47168e+14
31600,6.47242e+14
31700,6.4732e+14
31800,6.474e+14
31900,6.47488e+14
32000,6.47578e+14
32100,6.47675e+14
32200,6.47772e+14
32300,6.47877e+14
32400,6.47992e+14
32500,6.48108e+14
32600,6.48234e+14
32700,6.48352e+14
32800,6.48491e+14
32900,6.48643e+14
33000,6.48812e+14
33100,6.48987e+14
33200,6.4917e+14
33300,6.49371e+14
33400,6.49593e+14
33500,6.49846e+14
33600,6.50111e+14
33700,6.50391e+14
33800,6.50707e+14
33900,6.5106e+14
34000,6.51402e+14
34100,6.51803e+14
34200,6.52211e+14
34300,6.52695e+14
34400,6.53225e+14
34500,6.53835e+14
34600,6.54435e+14
34700,6.55104e+14
34800,6.55806e+14
34900,6.56661e+14
35000,6.57567e+14
35100,6.58568e+14
35200,6.59675e+14
35300,6.60804e+14
35400,6.62059e+14
35500,6.634e+14
35600,6.64802e+14
35700,6.66317e+14
35800,6.68018e+14
35900,6.6984e+14
36000,6.71765e+14
36100,6.74006e+14
36200,6.76186e+14
36300,6.78635e+14
36400,6.81326e+14
36500,6.84251e+14
36600,6.87501e+14
36700,6.90729e+14
36800,6.94134e+14
36900,6.97793e+14
37000,7.01548e+14
37100,7.05652e+14
37200,7.09943e+14
37300,7.14333e+14
37400,7.18994e+14
37500,7.2389e+14
37600,7.2932e+14
37700,7.3506e+14
37800,7.40755e+14
37900,7.46878e+14
38000,7.52983e+14
38100,7.59354e+14
38200,7.65291e+14
38300,7.71395e+14
38400,7.78181e+14
38500,7.84391e+14
38600,7.91474e+14
38700,7.98255e+14
38800,8.05159e+14
38900,8.12275e+14
39000,8.18989e+14
39100,8.25894e+14
39200,8.32881e+14
39300,8.39004e+14
39400,8.45679e+14
39500,8.52291e+14
39600,8.58503e+14
39700,8.64924e+14
39800,8.70874e+14
39900,8.76832e+14
40000,8.82575e+14
40100,8.88379e+14
40200,8.93981e+14
40300,8.98826e+14
40400,9.03851e+14
40500,9.08521e+14
40600,9.13149e+14
40700,9.17804e+14
40800,9.21946e+14
40900,9.25268e+14
41000,9.29101e+14
41100,9.32365e+14
41200,9.35524e+14
41300,9.3834e+14
41400,9.41108e+14
41500,9.43787e+14
41600,9.46196e+14
41700,9.48328e+14
41800,9.50263e+14
41900,9.521e+14
42000,9.53952e+14
42100,9.55604e+14
42200,9.57234e+14
42300,9.5867e+14
42400,9.59975e+14
42500,9.61136e+14
42600,9.62246e+14
42700,9.63286e+14
42800,9.64217e+14
42900,9.65079e+14
43000,9.65842e+14
43100,9.66563e+14
43200,9.67168e+14
43300,9.67798e+14
43400,9.6833e+14
43500,9.68841e+14
43600,9.69327e+14
43700,9.69714e+14
43800,9.70096e+14
43900,9.70477e+14
44000,9.70793e+14
44100,9.71093e+14
44200,9.71364e+14
