pct,lambda0,mean,std
0,0,7.17982e+14,3.48998e+12
0,0.25,7.19232e+14,4.71511e+12
0,0.5,7.18353e+14,3.90383e+12
0,1,7.19492e+14,4.04492e+12
0,2,7.17718e+14,4.94823e+12
25,0,6.50524e+14,2.65533e+11
25,0.25,6.52309e+14,4.88915e+11
25,0.5,6.53915e+14,4.66686e+11
25,1,6.57001e+14,3.97324e+11
25,2,6.63499e+14,2.99613e+11
50,0,6.42014e+14,2.65832e+11
50,0.25,6.4288e+14,2.11806e+11
50,0.5,6.44137e+14,3.19097e+11
50,1,6.46117e+14,2.5062e+11
50,2,6.50667e+14,2.63464e+11
75,0,6.35746e+14,1.54951e+11
75,0.25,6.36295e+14,2.39214e+11
75,0.5,6.36947e+14,1.67708e+11
75,1,6.37985e+14,1.56727e+11
75,2,6.40317e+14,1.46033e+11
100,0,6.30945e+14,7.26543e+10
100,0.25,6.30942e+14,7.94849e+10
100,0.5,6.3097e+14,1.0621e+11
100,1,6.30924e+14,1.21966e+11
100,2,6.30972e+14,6.07472e+10
