mode,pct,avoid_cm,mean,std
MixPrecision,0,0,1.49683e+15,3.56191e+12
MixFeedback,0,0,1.49683e+15,3.56191e+12
MixFeedbackAvoidCenterGrid,0,0,1.49878e+15,5.1799e+12
MixFeedbackAvoidCenterGrid,0,5,1.49457e+15,5.45079e+12
MixFeedbackAvoidCenterGrid,0,10,1.49422e+15,3.71168e+12
MixFeedbackAvoidCenterGrid,0,15,1.49759e+15,3.2874e+12
MixFeedbackAvoidCenterGrid,0,20,1.49584e+15,4.91598e+12
MixPrecision,25,0,1.72651e+15,2.8987e+12
MixFeedback,25,0,1.12302e+15,3.862e+12
MixFeedbackAvoidCenterGrid,25,0,1.12254e+15,5.83644e+12
MixFeedbackAvoidCenterGrid,25,5,1.12389e+15,5.2145e+12
MixFeedbackAvoidCenterGrid,25,10,1.12538e+15,4.68968e+12
MixFeedbackAvoidCenterGrid,25,15,1.12393e+15,3.65841e+12
MixFeedbackAvoidCenterGrid,25,20,1.12323e+15,3.32772e+12
MixPrecision,50,0,1.95271e+15,5.65957e+12
MixFeedback,50,0,7.67782e+14,3.74125e+12
MixFeedbackAvoidCenterGrid,50,0,7.68287e+14,3.79676e+12
MixFeedbackAvoidCenterGrid,50,5,7.66926e+14,4.93457e+12
MixFeedbackAvoidCenterGrid,50,10,7.66591e+14,4.62524e+12
MixFeedbackAvoidCenterGrid,50,15,7.67082e+14,4.55935e+12
MixFeedbackAvoidCenterGrid,50,20,7.58508e+14,5.17097e+12
MixPrecision,75,0,2.18192e+15,3.76696e+12
MixFeedback,75,0,6.35795e+14,8.5566e+10
MixFeedbackAvoidCenterGrid,75,0,6.35763e+14,6.38322e+10
MixFeedbackAvoidCenterGrid,75,5,6.35964e+14,1.53536e+11
MixFeedbackAvoidCenterGrid,75,10,6.4533e+14,3.27343e+11
MixFeedbackAvoidCenterGrid,75,15,6.86729e+14,1.67967e+12
MixFeedbackAvoidCenterGrid,75,20,8.32514e+14,2.25921e+12
MixPrecision,100,0,2.41025e+15,7.92886e+11
MixFeedback,100,0,6.30943e+14,6.6627e+10
MixFeedbackAvoidCenterGrid,100,0,6.30971e+14,6.48653e+10
MixFeedbackAvoidCenterGrid,100,5,6.31423e+14,1.29824e+11
MixFeedbackAvoidCenterGrid,100,10,6.6685e+14,9.63163e+10
MixFeedbackAvoidCenterGrid,100,15,8.07487e+14,3.34516e+11
MixFeedbackAvoidCenterGrid,100,20,1.04046e+15,2.73067e+11
